"hour","x","y","twitter","instagram"
0,134,95,0,1
0,135,66,1,1
0,135,73,0,2
0,135,74,0,2
0,135,75,0,2
0,135,76,2,1
0,135,81,0,1
0,135,82,1,0
0,135,83,0,1
0,135,93,0,1
0,135,95,0,1
0,135,100,0,1
0,136,50,0,1
0,136,63,0,1
0,136,69,0,1
0,136,70,0,2
0,136,71,0,1
0,136,73,0,1
0,136,76,0,1
0,136,79,0,1
0,136,107,0,1
0,137,65,0,3
0,137,66,0,4
0,137,68,0,2
0,137,69,0,1
0,137,75,0,1
0,137,76,0,1
0,137,78,0,1
0,137,79,0,2
0,138,60,0,1
0,138,62,0,1
0,138,66,0,1
0,138,67,0,8
0,138,68,0,1
0,138,69,0,2
0,138,70,0,2
0,138,71,0,1
0,138,72,1,3
0,138,79,9,145
0,139,62,0,1
0,139,63,0,1
0,139,65,0,1
0,139,67,0,2
0,139,69,0,2
0,139,70,0,1
0,139,71,0,1
0,139,80,0,1
0,140,60,0,1
0,140,66,0,3
0,140,67,0,2
0,140,68,0,2
0,140,70,0,2
0,140,71,1,2
0,140,74,0,1
0,140,92,0,1
0,141,68,2,1
0,141,70,0,10
0,141,77,0,1
0,141,80,0,1
0,141,84,0,1
0,142,61,0,1
0,142,63,0,1
0,142,64,0,2
0,142,66,0,1
0,142,68,0,2
0,142,69,0,1
0,142,71,0,3
0,142,74,0,2
0,142,85,0,1
0,143,49,0,1
0,143,70,0,1
0,143,75,0,1
0,143,79,0,12
0,143,80,0,5
0,143,81,0,2
0,143,84,0,1
0,144,64,0,1
0,144,82,0,1
0,144,83,0,1
0,144,132,0,1
0,145,65,0,1
0,145,71,0,1
0,145,75,0,1
0,145,81,0,1
0,145,83,0,2
0,145,84,0,1
0,145,85,0,1
0,145,91,0,1
0,146,64,0,2
0,146,81,0,1
0,146,85,0,1
0,147,68,0,1
0,147,75,0,3
0,147,79,0,2
0,147,94,0,1
0,148,71,0,1
0,148,85,0,1
0,148,86,0,2
0,148,87,1,0
0,149,74,0,2
0,149,77,0,14
0,149,78,0,8
0,149,85,0,1
0,150,72,10,1
0,150,78,0,9
0,150,85,0,2
0,150,88,0,1
0,151,65,0,1
0,151,77,0,1
0,151,79,0,1
0,152,59,1,0
0,152,65,0,1
0,152,66,0,1
0,152,74,0,1
0,152,75,0,1
0,152,76,1,3
0,153,50,0,1
0,153,73,0,1
0,153,74,0,1
0,153,89,0,1
0,154,38,3,0
0,154,68,0,1
0,154,73,0,1
0,154,75,0,1
0,154,89,0,1
0,155,71,1,11
0,155,72,0,1
0,155,79,0,1
0,156,76,0,1
0,156,78,0,1
0,157,74,1,0
0,157,76,0,1
0,158,77,0,3
0,162,113,0,1
0,164,42,1,0
0,165,50,0,1
0,166,86,0,1
0,177,55,0,1
0,177,107,0,1
0,184,92,0,1
0,184,99,0,1
0,190,98,0,1
0,213,139,0,2
0,224,105,0,1
1,82,68,0,1
1,83,67,0,1
1,90,114,0,1
1,103,94,0,1
1,104,80,0,1
1,105,43,0,1
1,105,73,0,1
1,105,79,0,1
1,106,82,0,2
1,106,92,0,1
1,107,57,0,1
1,109,72,0,2
1,109,78,0,1
1,109,82,0,1
1,110,109,0,1
1,111,105,0,1
1,112,51,0,1
1,112,73,0,1
1,113,74,0,1
1,113,76,2,0
1,114,76,3,3
1,114,81,0,2
1,115,33,0,1
1,115,83,0,1
1,116,72,1,0
1,116,80,0,1
1,117,79,0,1
1,118,68,0,1
1,118,78,0,1
1,119,66,0,3
1,119,78,0,2
1,119,79,0,4
1,120,78,0,1
1,121,66,1,1
1,121,77,0,1
1,121,78,0,4
1,121,96,0,1
1,122,78,0,1
1,122,80,0,1
1,122,81,0,1
1,122,83,0,1
1,123,59,0,1
1,124,58,0,2
1,124,66,0,1
1,125,74,0,1
1,125,81,0,2
1,126,60,0,1
1,126,68,0,1
1,126,70,0,1
1,126,87,0,1
1,127,58,0,1
1,127,59,0,1
1,128,82,0,1
1,129,55,0,1
1,129,60,0,1
1,129,61,0,1
1,129,69,0,1
1,130,57,0,1
1,130,68,0,5
1,130,76,0,2
1,131,35,0,1
1,131,39,0,2
1,131,72,0,3
1,131,73,0,8
1,131,75,0,1
1,131,76,0,3
1,131,78,0,1
1,132,73,1,3
